SEQ_ID	SCHoCO	Strain	Medium	pair	sample	keep	depth	newName
P-A2-no3-c_S30	NoCas	A2	no3	p53	P.A2.no3.c_S30	yes	35577	p53_NoCas_A2_no3
P-A2-no3-d_S42	NoCas	A2	no3	p54	P.A2.no3.d_S42	yes	24707	p54_NoCas_A2_no3
P-A2-vit-a_S5	NoCas	A2	vit	p55	P.A2.vit.a_S5	yes	36056	p55_NoCas_A2_vit
P-A2-vit-b_S17	NoCas	A2	vit	p56	P.A2.vit.b_S17	yes	26751	p56_NoCas_A2_vit
P-A2-vit-c_S29	NoCas	A2	vit	p57	P.A2.vit.c_S29	yes	69013	p57_NoCas_A2_vit
P-A2-vit-d_S41	NoCas	A2	vit	p58	P.A2.vit.d_S41	yes	133701	p58_NoCas_A2_vit
P-H5-MFa_S10	NoCas	H5	MF	p59	P.H5.MFa_S10	yes	21141	p59_NoCas_H5_MF
P-H5-MFb_S22	NoCas	H5	MF	p60	P.H5.MFb_S22	yes	16328	p60_NoCas_H5_MF
P-H5-MFc_S34	NoCas	H5	MF	p61	P.H5.MFc_S34	yes	56529	p61_NoCas_H5_MF
P-H5-MFd_S46	NoCas	H5	MF	p62	P.H5.MFd_S46	yes	23682	p62_NoCas_H5_MF
P-H5-no3-g_S84	NoCas	H5	no3	p65	P.H5.no3.g_S84	yes	37593	p65_NoCas_H5_no3
P-H5-vit-a_S11	NoCas	H5	vit	p67	P.H5.vit.a_S11	yes	51075	p67_NoCas_H5_vit
P-H5-vit-b_S23	NoCas	H5	vit	p68	P.H5.vit.b_S23	yes	47301	p68_NoCas_H5_vit
P-H5-vit-c_S35	NoCas	H5	vit	p69	P.H5.vit.c_S35	yes	45697	p69_NoCas_H5_vit
P-H5-vit-d_S47	NoCas	H5	vit	p70	P.H5.vit.d_S47	yes	27121	p70_NoCas_H5_vit
